clusters,coefficient
373,0.197286903598
524,0.364833710119
577,0.427107639884
282,0.105712362625
878,0.815685419371
179,0.0516946156878
999,0.998771924206
621,0.485097986032
404,0.223688751054
975,0.961565504512
491,0.322311241629
350,0.16995293645
254,0.0835378282377
647,0.507316463433
94,0.0286307766079
81,0.0229480929853
475,0.305190452458
752,0.64025333119
721,0.605177230774
620,0.474905666836
124,0.0311413525009
612,0.460563984654
872,0.806477775765
905,0.857355407398
554,0.40049661472
175,0.0460255139539
750,0.631885885282
548,0.392942287539
791,0.689951432205
611,0.459756034671
108,0.027429106412
405,0.22974125712
785,0.68815838837
191,0.0546608552267
749,0.635985906102
361,0.167783434948
988,0.981528107644
802,0.712925344062
613,0.472625753857
498,0.330038077981
668,0.531990412854
374,0.188631176798
391,0.206174999495
494,0.324389432604
756,0.64397519815
776,0.674721909779
495,0.331482897922
60,0.0237130759636
383,0.197347074285
977,0.964533799506
671,0.539603705071
269,0.0926151999867
333,0.159753602839
890,0.833453313907
790,0.688738904472
509,0.347150369519
19,0.0164824322463
582,0.432470690388
32,0.019233462964
73,0.025131246535
362,0.180316197391
310,0.128951720681
256,0.0792450739912
623,0.472514668018
112,0.0272469643556
270,0.0788558693605
242,0.075029931958
216,0.0605905774808
370,0.187525107326
36,0.0195210337245
137,0.0308321460553
204,0.0598735291909
571,0.422299396187
695,0.5631014827
212,0.05688011841
608,0.461129758989
59,0.0209726613495
733,0.609448830944
70,0.0231050988348
416,0.231518524681
419,0.250726327706
764,0.653797811467
754,0.638938796001
296,0.120992780158
655,0.519677627973
818,0.730488196354
796,0.704407946406
651,0.516160112578
145,0.0336336801461
351,0.15687506954
773,0.669682141079
825,0.740811751717
665,0.527871895185
704,0.577755275702
995,0.993225793198
512,0.359355810852
962,0.945589473873
753,0.637708001596
772,0.668890942444
618,0.478122213367
230,0.0669688187467
859,0.78845081961
576,0.424960308287
213,0.0548862756834
298,0.12324507857
607,0.467420759353
979,0.969305606128
896,0.848093421589
961,0.942564936302
934,0.900637873687
724,0.608055024731
159,0.0416040070791
236,0.0709774949846
532,0.381790237995
40,0.0190265733872
327,0.135046368894
809,0.718029481517
530,0.371240082966
153,0.0402883952532
448,0.272742553804
502,0.335872167988
877,0.814105792348
442,0.271427749891
22,0.0178788351399
46,0.0208776201458
985,0.977531001624
534,0.367995828058
794,0.69434155284
627,0.489092675268
903,0.850590518262
353,0.177530276786
539,0.383194795571
164,0.038380593944
411,0.242173188772
288,0.100608454629
146,0.0336966275547
853,0.7809174976
522,0.359750547135
938,0.906736274823
121,0.0296451579892
372,0.190751107587
598,0.447125108992
90,0.0276605047708
743,0.629894305817
410,0.234063683707
782,0.687168656919
531,0.373051994908
27,0.0197383313601
195,0.046732864603
948,0.922001767053
151,0.0362898056577
397,0.211650415566
403,0.226142296816
63,0.0230060860712
873,0.808061047883
445,0.278698867359
659,0.526089854434
155,0.0380507381729
788,0.678184360229
228,0.0621931403851
917,0.879642392561
476,0.303343107582
768,0.665172419599
933,0.900098096318
683,0.550832367337
393,0.207258697919
591,0.441032413472
700,0.580239441415
556,0.404620188582
883,0.826830661627
622,0.479421592375
952,0.926093591021
691,0.568586120385
136,0.0336931257965
221,0.0652435376028
990,0.984912169359
336,0.146056457533
616,0.483609274415
274,0.0956206845135
793,0.699286310094
967,0.949482650481
87,0.0251538480473
654,0.516468172973
472,0.302821831565
123,0.0311176042663
317,0.140745489766
64,0.0218484964609
549,0.393656000038
244,0.0746090529665
510,0.335723018452
801,0.71451855429
895,0.84181008196
107,0.0271679126222
927,0.891949431531
558,0.401627221082
465,0.298541166002
371,0.184025995632
427,0.237067763431
760,0.645761462212
968,0.951930756195
805,0.710729486356
954,0.92982385119
25,0.01855588371
765,0.662171610657
527,0.369538923312
301,0.115726527188
870,0.804343038269
337,0.165857859389
517,0.351911029377
338,0.148131347806
300,0.118832750038
325,0.143096078389
129,0.0289420259907
817,0.729827803378
856,0.784353285282
950,0.92459767351
3,0.00519058620888
642,0.510477635507
964,0.945977744505
356,0.17003315269
487,0.31562030222
9,0.00984591389351
928,0.891935451956
272,0.0874067496092
795,0.699381845319
847,0.775785784604
826,0.741258479068
380,0.199271402731
339,0.138360430555
311,0.129280609813
433,0.253915769104
303,0.120133331095
150,0.0352419531419
116,0.0276509309611
528,0.371355993777
127,0.0325548488646
368,0.180123134488
594,0.444499810524
275,0.104550461292
56,0.022480198526
205,0.0503545421753
57,0.0204770325382
93,0.026265119004
173,0.0428180389533
474,0.306145010039
913,0.873586138558
252,0.0779099103963
553,0.408694447273
322,0.129926599293
694,0.571216964325
871,0.81041578077
54,0.0209106101349
47,0.0204285471318
357,0.175160333012
367,0.171717009889
965,0.945607147641
328,0.152498985789
632,0.489397936315
851,0.777631361651
6,0.0078327626952
267,0.0924093205006
154,0.0391289048544
96,0.0263364541976
65,0.0239537834499
816,0.729826200668
469,0.299520708352
674,0.536434768489
867,0.80015683599
792,0.693867394428
279,0.102957847352
503,0.339470899548
335,0.150321694713
426,0.258229569343
459,0.28855480044
412,0.237399391555
991,0.986243697917
295,0.121248784275
763,0.656628482234
732,0.620327316711
537,0.379908077269
874,0.814681090567
67,0.0238209046958
312,0.127549655658
41,0.0225418552473
835,0.75361706047
169,0.0454307418806
471,0.302157116608
360,0.174907116563
238,0.0719927538496
294,0.115507725868
78,0.0244607491195
573,0.417042950945
453,0.283050519076
848,0.776846442123
987,0.980902155444
705,0.582758730788
575,0.428322148768
16,0.0159730857939
650,0.512046674157
662,0.529466292588
61,0.0244473793011
441,0.279174857244
930,0.896392709849
478,0.321589426117
737,0.620961449235
365,0.175961943078
658,0.526179527183
980,0.971243166849
227,0.067533043416
132,0.0320586317101
884,0.82478163501
682,0.548841190791
769,0.665757353974
937,0.905767974412
20,0.0174284005812
526,0.374980052425
421,0.251002848853
514,0.358467638984
909,0.865698656031
770,0.663328675068
392,0.207546797872
163,0.0400247252533
984,0.975841309178
726,0.603267226871
516,0.35261845466
245,0.0855421010641
942,0.913196532741
31,0.0190975207743
957,0.934751268093
922,0.882811379045
677,0.542069433353
615,0.469759392054
569,0.421771885783
972,0.958898498868
729,0.616976466099
290,0.115193441404
869,0.80505270046
738,0.620013970854
973,0.959584946594
399,0.208359841941
898,0.850267782837
629,0.490826105208
437,0.257670636311
233,0.0660303437737
53,0.0184200753785
606,0.456003563648
185,0.0440746644225
276,0.0997982746366
892,0.838752653603
423,0.234433720716
122,0.0307594373608
162,0.0403786396969
672,0.526422086134
566,0.418022916949
711,0.589445158419
614,0.46878432882
481,0.313701990896
589,0.439488759603
775,0.671843030399
580,0.435745005157
382,0.202819096373
894,0.841773224474
860,0.789919834602
435,0.267840594561
131,0.0370839619079
774,0.672252231894
982,0.972853958415
656,0.527075475144
165,0.0397444821775
468,0.297754987259
306,0.120137890782
679,0.543191514825
199,0.0561565796514
253,0.0777967033694
958,0.935235562641
261,0.0919474208144
798,0.694581569287
827,0.743279692846
49,0.0215747552704
120,0.0291326600784
263,0.0795504819731
68,0.0245986790355
473,0.311211266588
224,0.0653251117064
783,0.68243375628
84,0.0275827377534
600,0.462975019769
394,0.21208174431
891,0.83452993381
50,0.0205980528856
637,0.500157240846
484,0.315377727398
76,0.0232315268272
148,0.0357991715397
381,0.200800749612
597,0.450687149273
308,0.132023817879
52,0.0211203727129
464,0.294341928885
260,0.0929899036634
425,0.247950501855
520,0.355665871698
115,0.0268182825903
761,0.657193764441
18,0.0163793166009
170,0.0401412349802
635,0.489366262453
329,0.137848655122
868,0.799051219123
536,0.373039004916
24,0.0177625317978
970,0.95398739276
963,0.943477605773
10,0.0117517756274
396,0.204681192321
828,0.746730429623
184,0.0429005297195
595,0.452493676925
248,0.0859112603041
941,0.912106245556
23,0.0171512067719
85,0.0293861284334
971,0.956003651815
901,0.849025348328
111,0.0259348115033
515,0.355154986254
102,0.0257674879638
935,0.902045216896
201,0.0555273280894
960,0.939550509776
742,0.634127569912
745,0.62981528113
587,0.43544055798
181,0.0410402769623
264,0.0936182885705
188,0.0465879651348
149,0.0347682042964
331,0.148493787959
983,0.973479910615
924,0.885321796559
375,0.183959691222
332,0.158063842578
821,0.736079477382
319,0.131127945558
974,0.961757737953
815,0.728110840536
736,0.619814242522
340,0.148235361967
545,0.386796314421
728,0.607714059866
200,0.0534091986411
432,0.250383817532
751,0.638589708295
13,0.01393042946
966,0.947327817148
508,0.34711901612
561,0.401664554111
262,0.0850117351761
209,0.050571575823
717,0.594528348589
638,0.507587038603
461,0.294139706538
673,0.538794877862
